Date,Time,DS_name,num_DS,num_threads,thread_config,DS_config,duration,keyspace,Op0,Op1,TotalOps
2025-03-03,15:27:47,bst,128,20,numa,numa,20,1600000,29614014,36728446, 75689103
2025-03-03,15:36:58,bst,128,20,numa,regular,20,1600000,29218223,27597089,57738315.33
2025-03-03,15:38:33,bst,128,20,regular,numa,20,1600000,35976639,33070461,69755988.33
2025-03-03,15:40:11,bst,128,20,regular,regular,20,1600000,27882475,27395831,49558595.33
2025-03-03,15:41:46,bst,128,20,split,numa,20,1600000,37543418,33253048,70062999.67
2025-03-03,15:43:23,bst,128,20,split,regular,20,1600000,22104230,19343578,50173142.33
2025-03-03,15:44:59,bst,128,40,numa,numa,20,1600000,38943033,31814140,68823297
2025-03-03,15:46:37,bst,128,40,numa,regular,20,1600000,31893888,26188824,57674394.67
2025-03-03,15:48:12,bst,128,40,regular,numa,20,1600000,36079711,31491492,67253685
2025-03-03,15:49:50,bst,128,40,regular,regular,20,1600000,27391860,25795786,52660368.67
2025-03-03,15:51:26,bst,128,40,split,numa,20,1600000,35062268,30757569,64830668.67
2025-03-03,15:53:03,bst,128,40,split,regular,20,1600000,29667411,25201775,53970852.33
2025-03-03,15:54:39,bst,1024,20,numa,numa,20,1600000,41166200,43820714,84968892.33
2025-03-03,16:00:31,bst,1024,20,numa,regular,20,1600000,21804291,21803633,44006196
2025-03-03,16:06:09,bst,1024,20,regular,numa,20,1600000,41013883,39319193,80611753.33
2025-03-03,16:12:02,bst,1024,20,regular,regular,20,1600000,16885453,18002931,33294662.33
2025-03-03,16:17:41,bst,1024,20,split,numa,20,1600000,40600812,40682014,81232066.67
2025-03-03,16:23:34,bst,1024,20,split,regular,20,1600000,22538122,22542201,43560285
2025-03-03,16:29:13,bst,1024,40,numa,numa,20,1600000,40542568,39309521,80488887
2025-03-03,16:35:06,bst,1024,40,numa,regular,20,1600000,28266393,27636663,57213516.67
2025-03-03,16:40:44,bst,1024,40,regular,numa,20,1600000,42572464,42981345,86855189
2025-03-03,16:46:37,bst,1024,40,regular,regular,20,1600000,22929867,22925633,48939642.67
2025-03-03,16:52:16,bst,1024,40,split,numa,20,1600000,42575073,42601561,87065297.33
2025-03-03,16:58:10,bst,1024,40,split,regular,20,1600000,26825118,24644956,49981289.67