Time,Remote DRAM Accesses,Local DRAM Accesses
2.002019372,105851,11455539
4.004150386,54249,21985337
6.006248589,47394,24090566
8.008126829,181220642,52306861
10.011927297,565337800,117159714
12.014513933,567317808,118595867
14.019924801,569298517,119378785
16.022509355,568320530,119316512
18.023925622,569946644,119850103
20.026512762,569927254,120218195
22.027925841,569554870,120536286
24.030512482,570808938,121047088
26.032603796,569176803,121194871
28.039931825,572256301,122313537
30.042506067,570897283,122479892
32.043928501,569255079,122648304
34.0465174,570540007,123338603
36.047933701,570067301,123608862
38.050526057,570651104,124230906
40.051927275,571128677,124608816
42.054492022,569950096,124847115
44.056618204,570933183,125460583
46.063934621,572297456,126095265
48.066539092,569489871,125962339
50.067927416,564026610,125705716
52.070501118,566010712,126263726
54.071942433,569255576,126865352
56.074524897,568943098,127304899
58.075937703,569325475,127647472
60.078510969,570731379,128295902
62.083934,571220547,128791064
64.086486711,568312190,128503766
66.087929274,569807417,129094671
68.090478774,569579431,129405268
70.091927671,569619928,129747794
72.094514164,570258521,130200928
74.095941676,568815077,130211215
76.099926088,570980647,130886115
78.102514427,570419924,131148165
80.107928416,569971626,131407677
82.110547512,569965207,131657419
84.111944459,568029911,131566520
86.114536216,569382644,132199623
88.115926503,569360695,132404065
90.11849312,568417612,132593916
92.119936644,569092821,132968851
94.123927714,570087429,133504229
96.126530384,568382094,133387512
98.131933919,570537697,134053000
100.134508396,569248790,133968675
102.13593235,568825003,134032306
104.138506134,569237359,134315500
106.139926885,567086446,134054156
108.142480329,568788406,134522492
110.143931132,568432337,134694654
112.151929632,560177391,134136010
114.154533232,566819835,134788508
116.155927004,567108232,134759781
118.15848884,566565426,134750502
120.15992892,568516430,135194071
122.160943228,566964368,135078257
124.163520098,569028875,135408583
126.166099644,569010199,135609045
128.167929685,567652860,135462338
130.171926925,569451713,135785447
132.174509041,567359996,135382144
134.175929876,567664473,135492943
136.183926545,569589654,135919161
138.186478335,566469835,135378359
140.187922147,567565684,135556758
142.190495152,568252841,135583966
144.191928261,566378635,135398528
146.194538738,568207435,135797642
148.195930279,566483275,135458818
150.197743339,567705930,135668078
152.199930214,568092962,135730151
154.204102625,567449580,135807162
156.20664577,568820964,136074486
158.207927294,568303492,136001697
160.211928438,567420263,135862629
162.214487243,568967746,136155382
164.219933834,568163038,136064371
166.22254838,568229219,136073823
168.22394383,567277671,135950814
170.226492005,565860116,135819152
172.227931109,567159856,136089136
174.230491058,557971931,135538392
176.231928729,565260543,135750838
178.23476594,565565581,135813725
180.239922456,566916712,136041498
182.24251882,566865454,135931628
184.243926152,567358422,136066748
186.246502579,566485145,135915989
188.247929474,567472057,136023191
190.250473942,568006364,136196157
192.255924227,567556845,136081442
194.25852434,568243042,136143138
196.259930104,566803962,135844505
198.262528187,568525386,136088710
200.263925901,568318472,136132494
202.266498364,566828689,135860388
204.267927571,567742746,136111094
206.27192129,568149301,136147955
208.27451371,565936205,135708260
210.279924113,568012559,136091175
212.28251516,565863663,135615884
214.283922479,566565576,135725189
216.286528496,567244390,135820455
218.287926062,565951682,135494323
220.290539432,567213718,135740642
222.291925588,566837845,135739690
224.297949154,567208045,135898255
226.300445382,567663753,135923800
228.303075555,566548661,135803774
230.305511168,567576923,136019624
232.30994854,568379830,136155722
234.31245266,561672972,135382774
236.3159335,562662522,136204483
238.318551142,567513110,136042206
240.323922662,566018104,135774073
242.326506213,568362393,136210817
244.327924629,566312430,135794184
246.330534648,568466578,136250176
248.331924219,567744989,136011680
250.334513269,566628474,135875013
252.339920563,568489743,136303142
254.342497293,566425179,135971705
256.34392658,566134765,135959041
258.34652189,566957082,136094167
260.347932635,564894743,135816329
262.350544559,566982431,136163751
264.351926294,566374222,136127993
266.355922714,565981201,136131857
268.358513525,566826298,136240573
270.363924374,567032479,136460862
272.36648921,566434908,136246329
274.367921526,566579937,136240896
276.370501738,565967808,136213175
278.37192554,566813752,136276078
280.374516857,567511122,136397594
282.375924441,565751716,136070700
284.379923065,568015349,136477359
286.38251846,566371010,136175263
288.383926432,567378892,136276841
290.387922397,568222610,136503243
292.390521654,566439472,136105635
294.395924973,568597675,136478568
296.398505382,560611582,136018520
298.399930129,562634936,135853902
300.402553356,565569284,135977511
302.403929723,563632793,135517183
304.406548954,567960073,136169087
306.411928184,568285656,136267724
308.414534859,565964691,135766350
310.415924716,566780023,135912435
312.418519789,566805265,135961392
314.419926287,565231189,135534823
316.422522108,566862536,135926605
318.423924278,565216670,135694971
320.42792404,566796792,135993638
322.43049503,566716382,136006713
324.435924924,566240550,135933604
326.438542317,566438176,135913685
328.439928401,566413227,135785737
330.442522279,565360621,135751934
332.443925786,566666775,135883585
334.446515012,565701938,135801229
336.447922234,566778328,135803747
338.451922685,567660908,135990000
340.454507046,565880820,135682529
342.455927133,567038964,135706487
344.459921486,567816458,135930916
346.462492308,566090586,135600695
348.467921609,568252463,135977086
350.470528329,566185961,135538789
352.471927275,567301039,135642448
354.474505478,567324606,135697621
356.475924895,566205529,135459923
358.478520515,558244465,135464474
360.479928804,566277469,135548702
362.483923889,565078768,135231544
364.486547646,567725167,135757305
366.491923725,567337705,135736907
368.494534967,567650771,135775638
370.495926864,567117162,135706253
372.498531123,566483779,135602154
374.499926314,566775082,135612428
376.50255473,566586766,135605022
378.507923666,566570746,135674220
380.510526774,566458855,135640493
382.511926631,564725090,135337721
384.514554262,566426242,135692758
386.515938937,566001386,135410093
388.518543253,564943541,135399704
390.519929148,566014052,135633014
392.523924764,566082462,135659510
394.526538084,565704683,135588903
396.531925176,567551189,135936271
398.534535924,565574413,135621324
400.535924291,566280787,135590337
402.53854111,566826237,135814514
404.539925319,565130119,135416860
406.542529102,567065401,135737963
408.543930368,565755419,135526707
410.547924714,567347570,135826585
412.550546793,567259042,135775638
414.554170325,565762675,135558845
416.559922403,567826953,135795667
418.562525161,563182621,135453832
420.563927535,558661591,134447089
422.56653647,566790230,135481999
424.567927947,564011188,134958447
426.570514494,567248008,135474114
428.575922365,568368179,135748786
430.578512455,565714337,135247864
432.579927657,567056028,135559918
434.58253127,567581764,135673896
436.583931572,565833202,135359046
438.58654189,567679546,135738822
440.588983353,566465035,135641206
442.59175447,567668060,135880936
444.597957723,568403820,136123543
446.600454077,566269425,135792714
448.603082324,567812992,136111196
450.606241604,567599953,136221440
452.607924682,565436229,135863847
454.611921882,567353561,136255501
456.614514767,565211525,135743463
458.618174934,566440818,136040494
460.619926007,566297838,136102391
462.622501271,565296171,135950052
464.623922189,566115046,136087368
466.629633911,566957714,136326469
468.635926005,566328887,136376487
470.638495235,565854480,136050387
472.639931906,565075282,136076138
474.642523483,566578137,136320842
476.643924607,566376667,136242074
478.646458663,565615714,136073563
480.651928624,560969824,135928982
482.65451805,563000718,136270965
484.655929532,565038732,135894197
486.658518992,564591307,135752093
488.659929766,565294285,135891320
490.66249237,566979021,136232614
492.663927225,566812107,136031440
494.666476119,565838075,135913084
496.6719251,567924032,136334436
498.674477349,567030435,136041272
500.675930003,565391839,135668527
502.678493226,567258211,136028208
504.679924633,565434262,135612751
506.682465371,566856040,135765789
508.68392612,567040939,135760904
510.68792335,566273661,135705289
512.690489514,567292300,135696968
514.6959244,567955847,135698291
516.698497624,566129602,135368126
518.699926228,566913655,135405087
520.702457308,566353675,135373783
522.703927394,567057749,135285764
524.706539759,567822975,135492040
526.707941248,565945435,135142443
528.711922234,567869650,135572310
530.714458199,567508765,135530789
532.715925373,566359536,135301937
534.719920895,568363373,135767462
536.722437407,566596750,135421292
538.723927158,567313679,135476181
540.727924077,567979950,135795550
542.730504116,557150649,134688855
544.735927524,567106561,135800141
546.73852739,564700999,135276368
548.739929467,565478475,135436619
550.742509396,566267020,135458440
552.743926963,564181498,135169847
554.746482142,566615572,135567633
556.747926533,566246933,135537762
558.751302926,565548264,135440880
560.755927151,566634141,135593528
562.758524251,565690229,135414085
564.759922441,565605421,135408856
566.762468962,566550657,135639540
568.76392932,565142561,135291389
570.766463982,566520583,135672181
572.767921015,565755759,135475233
574.771921975,565752179,135508016
576.774452998,566341232,135510100
578.77992315,566591110,135615073
580.782442595,566319922,135568838
582.783935862,566050492,135522384
584.786464782,565228204,135361125
586.78792451,566320183,135649030
588.790488922,566715171,135767937
590.791925157,565263410,135528806
592.795611353,566861091,135824541
594.799926756,566013287,135766549
596.80250404,566424575,135820332
598.807928,567584422,136114060
600.810510483,565228165,135673945
602.811927792,565781498,135839940
604.814456746,556516826,135555913
606.816979605,565147675,135671276
608.819927511,564298624,135571108
610.823927597,565736121,135940375
612.826721217,566517781,136103415
614.829498446,566584552,136002485
616.832458654,565306286,135956565
618.838126188,567373894,136333134
620.839927108,566548575,136064076
622.842697418,565383892,135965149
624.847932726,566898339,136324999
626.850488297,565662911,135999912
628.851928093,566065250,136157673
630.854543337,566587900,136322710
632.855930537,565402382,136018868
634.858528753,566824495,136412979
636.85993075,566392227,136213880
638.863928317,566293404,136208687
640.86650591,567143832,136299632
642.871926017,566523223,136145749
644.874483617,566418870,136124763
646.875922984,566926087,136099522
648.878508703,566002713,136008367
650.879927141,566220592,136069902
652.882461926,567145916,136267781
654.883928107,565588108,135868402
656.887919251,567077829,136259254
658.89050687,565530734,136016084
660.895931212,567130014,136288753
662.898536075,566274210,136040725
664.899928837,558362756,135187476
666.902501837,561466382,135462781
668.903927207,565562048,135715526
670.906502574,562905945,135275604
672.907979778,566013103,135731921
674.910720491,564885808,135520065
676.915927274,566666505,135884985
678.918534552,566419048,135656423
680.919926558,564788315,135343048
682.922449985,566572615,135678112
684.923929369,565860174,135490922
686.926521813,565540066,135451685
688.928503569,566388044,135614233
690.931023845,564714014,135412189
692.935928435,567335459,135807810
694.938472132,566580734,135703320
696.939925433,564867548,135320412
698.942498907,566615163,135659308
700.943928587,565834076,135450444
702.946498844,566202538,135517326
704.9479265,566098406,135472092
706.951842828,565774100,135344525
708.955924912,567110798,135595888
710.95849244,566858727,135494114
712.963923522,565858864,135282510
714.966494334,566229364,135373499
716.96792678,565174077,135180688
718.970451312,565988427,135405503
720.971926928,566125211,135376571
722.974478456,565464754,135326338
724.975927965,566530054,135455394
726.979923049,557596229,134655145
728.982548297,563997310,135237402
730.985739824,564769325,135117934
732.991922994,566822458,135617753
734.994478172,566603770,135457617
736.995925591,566438856,135390473
738.99849627,565121493,135275019
740.999926287,566259466,135479430
743.00248296,566845728,135599280
745.003923957,565130148,135338048
747.007925757,567244486,135743284
749.01045678,565795809,135567110
751.015922693,567423664,135942994
753.018479711,566740965,135805083
755.019924987,565215284,135571928
757.022466205,566935827,135868361
759.023923443,566655330,135826739
761.026451102,565377611,135722394
763.027923848,566645237,135992684
765.030514506,565761057,135778880
767.035924539,567126166,136107195
769.03849128,567008909,135979658
771.039928049,565150790,135730580
773.042481055,566595793,135948433
775.043931252,566306473,135753186
777.046475149,565530703,135621184
779.047923296,566851500,135852363
781.051924571,565978846,135753506
783.054501268,567007710,135887029
785.056702752,566918448,135833937
787.06392259,567246203,136056643
789.066463927,556972631,135587737
791.067924926,566401461,135892783
793.070500536,563446694,135433976
795.071929295,565885967,135791834
797.074603098,564695764,135531641
799.079928533,566345474,135893401
801.082540588,565571648,135746293
803.083925499,564184971,135535867
805.086495907,565726806,135771585
807.087922279,565511134,135743650
