Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, keyspace, Op0, Op1, TotalOps
2025-03-12, 00:36:59, bst, 128, 20, numa, numa, 20, 1600000, 39665605, 36712903, 76378508
2025-03-12, 00:37:31, bst, 128, 20, numa, regular, 20, 1600000, 29036768, 26978957, 56015725
2025-03-12, 00:38:03, bst, 128, 20, regular, numa, 20, 1600000, 36511387, 34290521, 70801908
2025-03-12, 00:38:36, bst, 128, 20, regular, regular, 20, 1600000, 23952603, 23952333, 47904936
2025-03-12, 00:39:07, bst, 128, 20, split, numa, 20, 1600000, 36461477, 33675547, 70137024
2025-03-12, 00:39:40, bst, 128, 20, split, regular, 20, 1600000, 25273240, 21539646, 46812886
2025-03-12, 00:40:11, bst, 128, 40, numa, numa, 20, 1600000, 38521200, 31911863, 70433063
2025-03-12, 00:40:44, bst, 128, 40, numa, regular, 20, 1600000, 31921390, 28023010, 59944400
2025-03-12, 00:41:16, bst, 128, 40, regular, numa, 20, 1600000, 31710895, 27694730, 59405625
2025-03-12, 00:41:48, bst, 128, 40, regular, regular, 20, 1600000, 26977251, 24994193, 51971444
2025-03-12, 00:42:20, bst, 128, 40, split, numa, 20, 1600000, 36164871, 31083397, 67248268
2025-03-12, 00:42:53, bst, 128, 40, split, regular, 20, 1600000, 27113957, 23973635, 51087592
2025-03-12, 00:43:24, bst, 1024, 20, numa, numa, 20, 1600000, 41366076, 43791317, 85157393
2025-03-12, 00:45:23, bst, 1024, 20, numa, regular, 20, 1600000, 22866486, 22887978, 45754464
2025-03-12, 00:47:14, bst, 1024, 20, regular, numa, 20, 1600000, 40295712, 39893759, 80189471
2025-03-12, 00:49:13, bst, 1024, 20, regular, regular, 20, 1600000, 16169436, 18003187, 34172623
2025-03-12, 00:51:04, bst, 1024, 20, split, numa, 20, 1600000, 39596984, 40065469, 79662453
2025-03-12, 00:53:03, bst, 1024, 20, split, regular, 20, 1600000, 22736755, 22731892, 45468647
2025-03-12, 00:54:55, bst, 1024, 40, numa, numa, 20, 1600000, 39617013, 39613139, 79230152
2025-03-12, 00:56:53, bst, 1024, 40, numa, regular, 20, 1600000, 27856428, 27861684, 55718112
2025-03-12, 00:58:45, bst, 1024, 40, regular, numa, 20, 1600000, 43420305, 44915320, 88335625
2025-03-12, 01:00:44, bst, 1024, 40, regular, regular, 20, 1600000, 24960297, 26300343, 51260640
2025-03-12, 01:02:36, bst, 1024x, 40, split, numa, 20, 1600000, 42840309, 42542995, 85383304
2025-03-12, 01:04:35, bst, 1024, 40, split, regular, 20, 1600000, 23069626, 22787818, 45857444